Parker-Hannifin Quarterly Net Income (Millions of US $),Parker-Hannifin Quarterly Net Income (Millions of US $).1
2024-03-31,$727
2023-12-31,$682
2023-09-30,$651
2023-06-30,$709
2023-03-31,$591
2022-12-31,$395
2022-09-30,$388
2022-06-30,$129
2022-03-31,$348
2021-12-31,$388
2021-09-30,$451
2021-06-30,$505
2021-03-31,$473
2020-12-31,$448
2020-09-30,$320
2020-06-30,$291
2020-03-31,$367
2019-12-31,$204
2019-09-30,$339
2019-06-30,$426
2019-03-31,$411
2018-12-31,$312
2018-09-30,$376
2018-06-30,$353
2018-03-31,$366
2017-12-31,$56
2017-09-30,$285
2017-06-30,$293
2017-03-31,$239
2016-12-31,$241
2016-09-30,$210
2016-06-30,$242
2016-03-31,$187
2015-12-31,$183
2015-09-30,$195
2015-06-30,$179
2015-03-31,$285
2014-12-31,$267
2014-09-30,$280
2014-06-30,$301
2014-03-31,$242
2013-12-31,$253
2013-09-30,$244
2013-06-30,$271
2013-03-31,$257
2012-12-31,$181
2012-09-30,$240
2012-06-30,$302
2012-03-31,$312
2011-12-31,$241
2011-09-30,$297
2011-06-30,$292
2011-03-31,$280
2010-12-31,$230
2010-09-30,$247
2010-06-30,$222
2010-03-31,$154
2009-12-31,$105
2009-09-30,$73
2009-06-30,$50
2009-03-31,$53
