Enphase Energy Quarterly Net Income (Millions of US $),Enphase Energy Quarterly Net Income (Millions of US $).1
2024-03-31,$-16
2023-12-31,$21
2023-09-30,$114
2023-06-30,$157
2023-03-31,$147
2022-12-31,$154
2022-09-30,$115
2022-06-30,$77
2022-03-31,$52
2021-12-31,$53
2021-09-30,$22
2021-06-30,$39
2021-03-31,$32
2020-12-31,$73
2020-09-30,$39
2020-06-30,$-47
2020-03-31,$69
2019-12-31,$117
2019-09-30,$31
2019-06-30,$11
2019-03-31,$3
2018-12-31,$1
2018-09-30,$-3
2018-06-30,$-4
2018-03-31,$-5
2017-12-31,$-3
2017-09-30,$-7
2017-06-30,$-12
2017-03-31,$-23
2016-12-31,$-13
2016-09-30,$-19
2016-06-30,$-17
2016-03-31,$-19
2015-12-31,$-16
2015-09-30,$1
2015-06-30,$-1
2015-03-31,$-6
2014-12-31,$0
2014-09-30,$1
2014-06-30,$-3
2014-03-31,$-6
2013-12-31,$-3
2013-09-30,$-6
2013-06-30,$-6
2013-03-31,$-10
2012-12-31,$-8
2012-09-30,$-9
2012-06-30,$-11
2012-03-31,$-10
2011-12-31,$-6
2011-09-30,$-7
2011-06-30,$-10
2011-03-31,$-9
2010-12-31,$-7
2010-09-30,$-6
2010-06-30,$-5
2010-03-31,$-4
2009-12-31,
