CenterPoint Energy Quarterly Net Income (Millions of US $),CenterPoint Energy Quarterly Net Income (Millions of US $).1
2024-03-31,$350
2023-12-31,$192
2023-09-30,$256
2023-06-30,$106
2023-03-31,$313
2022-12-31,$122
2022-09-30,$189
2022-06-30,$179
2022-03-31,$518
2021-12-31,$641
2021-09-30,$195
2021-06-30,$221
2021-03-31,$334
2020-12-31,$151
2020-09-30,$69
2020-06-30,$59
2020-03-31,"$-1,228"
2019-12-31,$128
2019-09-30,$241
2019-06-30,$165
2019-03-31,$140
2018-12-31,$90
2018-09-30,$153
2018-06-30,$-75
2018-03-31,$165
2017-12-31,"$1,296"
2017-09-30,$169
2017-06-30,$135
2017-03-31,$192
2016-12-31,$101
2016-09-30,$179
2016-06-30,$-2
2016-03-31,$154
2015-12-31,$-509
2015-09-30,$-391
2015-06-30,$77
2015-03-31,$131
2014-12-31,$176
2014-09-30,$143
2014-06-30,$107
2014-03-31,$185
2013-12-31,$113
2013-09-30,$151
2013-06-30,$-100
2013-03-31,$147
2012-12-31,$134
2012-09-30,$10
2012-06-30,$126
2012-03-31,$147
2011-12-31,$117
2011-09-30,$973
2011-06-30,$119
2011-03-31,$148
2010-12-31,$124
2010-09-30,$123
2010-06-30,$81
2010-03-31,$114
2009-12-31,$105
2009-09-30,$114
2009-06-30,$86
2009-03-31,$67
