Halliburton Quarterly Net Income (Millions of US $),Halliburton Quarterly Net Income (Millions of US $).1
2024-03-31,$606
2023-12-31,$661
2023-09-30,$716
2023-06-30,$610
2023-03-31,$651
2022-12-31,$656
2022-09-30,$544
2022-06-30,$109
2022-03-31,$263
2021-12-31,$824
2021-09-30,$236
2021-06-30,$227
2021-03-31,$170
2020-12-31,$-235
2020-09-30,$-17
2020-06-30,"$-1,676"
2020-03-31,"$-1,017"
2019-12-31,"$-1,653"
2019-09-30,$295
2019-06-30,$75
2019-03-31,$152
2018-12-31,$664
2018-09-30,$435
2018-06-30,$511
2018-03-31,$46
2017-12-31,$-824
2017-09-30,$365
2017-06-30,$28
2017-03-31,$-32
2016-12-31,$-149
2016-09-30,$6
2016-06-30,"$-3,208"
2016-03-31,"$-2,412"
2015-12-31,$-28
2015-09-30,$-54
2015-06-30,$54
2015-03-31,$-643
2014-12-31,$901
2014-09-30,"$1,203"
2014-06-30,$774
2014-03-31,$622
2013-12-31,$793
2013-09-30,$706
2013-06-30,$644
2013-03-31,$-18
2012-12-31,$669
2012-09-30,$602
2012-06-30,$737
2012-03-31,$627
2011-12-31,$906
2011-09-30,$683
2011-06-30,$739
2011-03-31,$511
2010-12-31,$605
2010-09-30,$544
2010-06-30,$480
2010-03-31,$206
2009-12-31,$243
2009-09-30,$262
2009-06-30,$262
2009-03-31,$378
