Fox Quarterly Net Income (Millions of US $),Fox Quarterly Net Income (Millions of US $).1
2024-03-31,$666
2023-12-31,$109
2023-09-30,$407
2023-06-30,$375
2023-03-31,$-54
2022-12-31,$313
2022-09-30,$605
2022-06-30,$306
2022-03-31,$283
2021-12-31,$-85
2021-09-30,$701
2021-06-30,$253
2021-03-31,$567
2020-12-31,$224
2020-09-30,"$1,106"
2020-06-30,$122
2020-03-31,$78
2019-12-31,$300
2019-09-30,$499
2019-06-30,$454
2019-03-31,$529
2018-12-31,$8
2018-09-30,$604
2018-06-30,
2018-03-31,$457
2017-12-31,$869
2017-06-30,
