Paramount Global Quarterly Net Income (Millions of US $),Paramount Global Quarterly Net Income (Millions of US $).1
2024-03-31,$-554
2023-12-31,$514
2023-09-30,$295
2023-06-30,$-299
2023-03-31,"$-1,118"
2022-12-31,$21
2022-09-30,$231
2022-06-30,$419
2022-03-31,$433
2021-12-31,"$2,058"
2021-09-30,$538
2021-06-30,"$1,036"
2021-03-31,$911
2020-12-31,$810
2020-09-30,$615
2020-06-30,$481
2020-03-31,$516
2019-12-31,$-258
2019-09-30,$630
2019-06-30,$977
2019-03-31,"$1,959"
2018-12-31,"$2,056"
2018-09-30,$488
2018-06-30,$400
2018-03-31,$511
2017-12-31,"$1,923"
2017-09-30,$592
2017-06-30,$58
2017-03-31,$-252
2016-12-31,$-113
2016-09-30,$478
2016-06-30,$423
2016-03-31,$473
2015-12-31,$261
2015-09-30,$426
2015-06-30,$332
2015-03-31,$394
2014-12-31,$413
2014-09-30,"$1,639"
2014-06-30,$439
2014-03-31,$468
2013-12-31,$470
2013-09-30,$494
2013-06-30,$472
2013-03-31,$443
2012-12-31,$393
2012-09-30,$391
2012-06-30,$427
2012-03-31,$363
2011-12-31,$370
2011-09-30,$338
2011-06-30,$395
2011-03-31,$202
2010-12-31,$283
2010-09-30,$317
2010-06-30,$150
2010-03-31,$-26
2009-12-31,$59
2009-09-30,$208
2009-06-30,$15
2009-03-31,$-55
