EQT Quarterly Net Income (Millions of US $),EQT Quarterly Net Income (Millions of US $).1
2024-03-31,$103
2023-12-31,$502
2023-09-30,$81
2023-06-30,$-67
2023-03-31,"$1,219"
2022-12-31,"$1,712"
2022-09-30,$684
2022-06-30,$891
2022-03-31,"$-1,516"
2021-12-31,"$1,801"
2021-09-30,"$-1,977"
2021-06-30,$-933
2021-03-31,$-37
2020-12-31,$64
2020-09-30,$-601
2020-06-30,$-263
2020-03-31,$-167
2019-12-31,"$-1,177"
2019-09-30,$-361
2019-06-30,$126
2019-03-31,$191
2018-12-31,$-399
2018-09-30,$-40
2018-06-30,$18
2018-03-31,"$-1,586"
2017-12-31,"$1,280"
2017-09-30,$23
2017-06-30,$41
2017-03-31,$164
2016-12-31,$-192
2016-09-30,$-8
2016-06-30,$-259
2016-03-31,$6
2015-12-31,$-135
2015-09-30,$41
2015-06-30,$6
2015-03-31,$173
2014-12-31,$-15
2014-09-30,$99
2014-06-30,$111
2014-03-31,$192
2013-12-31,$115
2013-09-30,$88
2013-06-30,$87
2013-03-31,$100
2012-12-31,$48
2012-09-30,$32
2012-06-30,$31
2012-03-31,$72
2011-12-31,$91
2011-09-30,$179
2011-06-30,$88
2011-03-31,$122
2010-12-31,$73
2010-09-30,$37
2010-06-30,$30
2010-03-31,$88
2009-12-31,$55
2009-09-30,$3
2009-06-30,$27
2009-03-31,$72
