Arch Capital Group Quarterly Net Income (Millions of US $),Arch Capital Group Quarterly Net Income (Millions of US $).1
2024-03-31,"$1,110"
2023-12-31,"$2,324"
2023-09-30,$713
2023-06-30,$661
2023-03-31,$705
2022-12-31,$849
2022-09-30,$7
2022-06-30,$394
2022-03-31,$186
2021-12-31,$614
2021-09-30,$389
2021-06-30,$664
2021-03-31,$428
2020-12-31,$533
2020-09-30,$409
2020-06-30,$288
2020-03-31,$134
2019-12-31,$316
2019-09-30,$382
2019-06-30,$459
2019-03-31,$438
2018-12-31,$126
2018-09-30,$217
2018-06-30,$233
2018-03-31,$137
2017-12-31,$204
2017-09-30,$-53
2017-06-30,$174
2017-03-31,$242
2016-12-31,$62
2016-09-30,$247
2016-06-30,$206
2016-03-31,$149
2015-12-31,$53
2015-09-30,$75
2015-06-30,$110
2015-03-31,$278
2014-12-31,$210
2014-09-30,$223
2014-06-30,$203
2014-03-31,$177
2013-12-31,$156
2013-09-30,$109
2013-06-30,$171
2013-03-31,$251
2012-12-31,$14
2012-09-30,$184
2012-06-30,$202
2012-03-31,$158
2011-12-31,$139
2011-09-30,$162
2011-06-30,$90
2011-03-31,$19
2010-12-31,$228
2010-09-30,$142
2010-06-30,$237
2010-03-31,$211
2009-12-31,$285
2009-09-30,$274
2009-06-30,$152
2009-03-31,$140
