VeriSign Quarterly Net Income (Millions of US $),VeriSign Quarterly Net Income (Millions of US $).1
2024-03-31,$194
2023-12-31,$265
2023-09-30,$189
2023-06-30,$186
2023-03-31,$179
2022-12-31,$180
2022-09-30,$170
2022-06-30,$167
2022-03-31,$158
2021-12-31,$330
2021-09-30,$157
2021-06-30,$148
2021-03-31,$150
2020-12-31,$157
2020-09-30,$171
2020-06-30,$152
2020-03-31,$334
2019-12-31,$148
2019-09-30,$154
2019-06-30,$148
2019-03-31,$163
2018-12-31,$182
2018-09-30,$138
2018-06-30,$128
2018-03-31,$134
2017-12-31,$103
2017-09-30,$115
2017-06-30,$123
2017-03-31,$116
2016-12-31,$106
2016-09-30,$114
2016-06-30,$113
2016-03-31,$107
2015-12-31,$102
2015-09-30,$92
2015-06-30,$93
2015-03-31,$88
2014-12-31,$65
2014-09-30,$95
2014-06-30,$100
2014-03-31,$94
2013-12-31,$292
2013-09-30,$81
2013-06-30,$87
2013-03-31,$85
2012-12-31,$106
2012-09-30,$78
2012-06-30,$68
2012-03-31,$68
2011-12-31,$54
2011-09-30,$59
2011-06-30,$-11
2011-03-31,$41
2010-12-31,$-41
2010-09-30,$785
2010-06-30,$35
2010-03-31,$51
2009-12-31,$92
2009-09-30,$54
2009-06-30,$35
2009-03-31,$65
