Discover Financial Services Quarterly Net Income (Millions of US $),Discover Financial Services Quarterly Net Income (Millions of US $).1
2024-03-31,$274
2023-12-31,$386
2023-09-30,$647
2023-06-30,$895
2023-03-31,$931
2022-12-31,"$1,009"
2022-09-30,$975
2022-06-30,"$1,097"
2022-03-31,"$1,205"
2021-12-31,"$1,034"
2021-09-30,"$1,055"
2021-06-30,"$1,688"
2021-03-31,"$1,546"
2020-12-31,$800
2020-09-30,$751
2020-06-30,$-369
2020-03-31,$-78
2019-12-31,$707
2019-09-30,$749
2019-06-30,$747
2019-03-31,$705
2018-12-31,$681
2018-09-30,$699
2018-06-30,$663
2018-03-31,$646
2017-12-31,$359
2017-09-30,$589
2017-06-30,$532
2017-03-31,$551
2016-12-31,$550
2016-09-30,$625
2016-06-30,$602
2016-03-31,$562
2015-12-31,$488
2015-09-30,$599
2015-06-30,$586
2015-03-31,$573
2014-12-31,$392
2014-09-30,$630
2014-06-30,$630
2014-03-31,$618
2013-12-31,$588
2013-09-30,$579
2013-06-30,$588
2013-03-31,$659
2012-12-31,
2012-11-30,
2012-09-30,$631
2012-08-31,$621
2012-06-30,$520
2012-05-31,$532
2012-03-31,$644
2012-02-29,$624
2011-11-30,
2011-08-31,$642
2011-05-31,$593
2011-02-28,$459
2010-11-30,
2010-08-31,$261
2010-05-31,$258
2010-02-28,$-104
2009-11-30,
2009-08-31,$577
2009-05-31,$226
2009-02-28,$120
