NVIDIA Quarterly Net Income (Millions of US $),NVIDIA Quarterly Net Income (Millions of US $).1
2024-04-30,"$14,881"
2024-01-31,"$12,286"
2023-10-31,"$9,243"
2023-07-31,"$6,188"
2023-04-30,"$2,043"
2023-01-31,"$1,414"
2022-10-31,$680
2022-07-31,$656
2022-04-30,"$1,618"
2022-01-31,"$3,002"
2021-10-31,"$2,464"
2021-07-31,"$2,374"
2021-04-30,"$1,912"
2021-01-31,"$1,457"
2020-10-31,"$1,336"
2020-07-31,$622
2020-04-30,$917
2020-01-31,$951
2019-10-31,$899
2019-07-31,$552
2019-04-30,$394
2019-01-31,$566
2018-10-31,"$1,230"
2018-07-31,"$1,101"
2018-04-30,"$1,244"
2018-01-31,"$1,119"
2017-10-31,$838
2017-07-31,$583
2017-04-30,$507
2017-01-31,$655
2016-10-31,$542
2016-07-31,$261
2016-04-30,$208
2016-01-31,$208
2015-10-31,$246
2015-07-31,$26
2015-04-30,$134
2015-01-31,$193
2014-10-31,$173
2014-07-31,$128
2014-04-30,$137
2014-01-31,$147
2013-10-31,$119
2013-07-31,$96
2013-04-30,$78
2013-01-31,$174
2012-10-31,$209
2012-07-31,$119
2012-04-30,$60
2012-01-31,$116
2011-10-31,$178
2011-07-31,$152
2011-04-30,$135
2011-01-31,$172
2010-10-31,$85
2010-07-31,$-141
2010-04-30,$138
2010-01-31,$131
2009-10-31,$108
2009-07-31,$-105
2009-04-30,$-201
2009-01-31,$-148
