KLA Quarterly Net Income (Millions of US $),KLA Quarterly Net Income (Millions of US $).1
2024-03-31,$602
2023-12-31,$583
2023-09-30,$741
2023-06-30,$685
2023-03-31,$698
2022-12-31,$979
2022-09-30,"$1,026"
2022-06-30,$805
2022-03-31,$731
2021-12-31,$717
2021-09-30,"$1,068"
2021-06-30,$633
2021-03-31,$567
2020-12-31,$457
2020-09-30,$421
2020-06-30,$411
2020-03-31,$78
2019-12-31,$381
2019-09-30,$347
2019-06-30,$218
2019-03-31,$193
2018-12-31,$369
2018-09-30,$396
2018-06-30,$349
2018-03-31,$307
2017-12-31,$-134
2017-09-30,$281
2017-06-30,$256
2017-03-31,$254
2016-12-31,$238
2016-09-30,$178
2016-06-30,$272
2016-03-31,$176
2015-12-31,$152
2015-09-30,$105
2015-06-30,$142
2015-03-31,$132
2014-12-31,$20
2014-09-30,$72
2014-06-30,$129
2014-03-31,$204
2013-12-31,$139
2013-09-30,$111
2013-06-30,$135
2013-03-31,$166
2012-12-31,$107
2012-09-30,$135
2012-06-30,$248
2012-03-31,$205
2011-12-31,$111
2011-09-30,$192
2011-06-30,$245
2011-03-31,$210
2010-12-31,$185
2010-09-30,$154
2010-06-30,$113
2010-03-31,$57
2009-12-31,$22
2009-09-30,$20
2009-06-30,$-26
2009-03-31,$-83
