Allstate Quarterly Net Income (Millions of US $),Allstate Quarterly Net Income (Millions of US $).1
2024-03-31,"$1,189"
2023-12-31,"$1,460"
2023-09-30,$-41
2023-06-30,"$-1,389"
2023-03-31,$-346
2022-12-31,$-303
2022-09-30,$-685
2022-06-30,"$-1,040"
2022-03-31,$634
2021-12-31,$805
2021-09-30,$508
2021-06-30,"$1,595"
2021-03-31,"$-1,408"
2020-12-31,"$2,598"
2020-09-30,"$1,126"
2020-06-30,"$1,224"
2020-03-31,$513
2019-12-31,"$1,707"
2019-09-30,$889
2019-06-30,$821
2019-03-31,"$1,261"
2018-12-31,$-585
2018-09-30,$942
2018-06-30,$678
2018-03-31,$977
2017-12-31,"$1,585"
2017-09-30,$637
2017-06-30,$550
2017-03-31,$666
2016-12-31,$811
2016-09-30,$491
2016-06-30,$242
2016-03-31,$217
2015-12-31,$460
2015-09-30,$621
2015-06-30,$326
2015-03-31,$648
2014-12-31,$795
2014-09-30,$750
2014-06-30,$614
2014-03-31,$587
2013-12-31,$810
2013-09-30,$310
2013-06-30,$434
2013-03-31,$709
2012-12-31,$394
2012-09-30,$723
2012-06-30,$423
2012-03-31,$766
2011-12-31,$712
2011-09-30,$175
2011-06-30,$-624
2011-03-31,$524
2010-12-31,$279
2010-09-30,$367
2010-06-30,$145
2010-03-31,$120
2009-12-31,$518
2009-09-30,$221
2009-06-30,$389
2009-03-31,$-274
