Norfolk Southern Quarterly Net Income (Millions of US $),Norfolk Southern Quarterly Net Income (Millions of US $).1
2024-03-31,$52
2023-12-31,$526
2023-09-30,$477
2023-06-30,$356
2023-03-31,$465
2022-12-31,$789
2022-09-30,$958
2022-06-30,$818
2022-03-31,$703
2021-12-31,$760
2021-09-30,$752
2021-06-30,$819
2021-03-31,$672
2020-12-31,$671
2020-09-30,$567
2020-06-30,$392
2020-03-31,$380
2019-12-31,$665
2019-09-30,$656
2019-06-30,$720
2019-03-31,$676
2018-12-31,$700
2018-09-30,$700
2018-06-30,$709
2018-03-31,$551
2017-12-31,"$3,966"
2017-09-30,$505
2017-06-30,$496
2017-03-31,$433
2016-12-31,$413
2016-09-30,$460
2016-06-30,$404
2016-03-31,$386
2015-12-31,$358
2015-09-30,$452
2015-06-30,$432
2015-03-31,$308
2014-12-31,$506
2014-09-30,$558
2014-06-30,$562
2014-03-31,$368
2013-12-31,$506
2013-09-30,$482
2013-06-30,$465
2013-03-31,$450
2012-12-31,$412
2012-09-30,$399
2012-06-30,$522
2012-03-31,$407
2011-12-31,$477
2011-09-30,$552
2011-06-30,$555
2011-03-31,$323
2010-12-31,$398
2010-09-30,$443
2010-06-30,$390
2010-03-31,$257
2009-12-31,$299
2009-09-30,$303
2009-06-30,$247
2009-03-31,$177
