Celanese Quarterly Net Income (Millions of US $),Celanese Quarterly Net Income (Millions of US $).1
2024-03-31,$121
2023-12-31,$698
2023-09-30,$951
2023-06-30,$220
2023-03-31,$91
2022-12-31,$767
2022-09-30,$191
2022-06-30,$434
2022-03-31,$502
2021-12-31,$524
2021-09-30,$506
2021-06-30,$538
2021-03-31,$322
2020-12-31,"$1,453"
2020-09-30,$207
2020-06-30,$107
2020-03-31,$218
2019-12-31,$43
2019-09-30,$263
2019-06-30,$209
2019-03-31,$337
2018-12-31,$99
2018-09-30,$401
2018-06-30,$344
2018-03-31,$363
2017-12-31,$203
2017-09-30,$226
2017-06-30,$231
2017-03-31,$183
2016-12-31,$160
2016-09-30,$262
2016-06-30,$221
2016-03-31,$257
2015-12-31,$-298
2015-09-30,$161
2015-06-30,$205
2015-03-31,$236
2014-12-31,$-84
2014-09-30,$253
2014-06-30,$259
2014-03-31,$196
2013-12-31,$654
2013-09-30,$172
2013-06-30,$133
2013-03-31,$142
2012-12-31,$-169
2012-09-30,$127
2012-06-30,$221
2012-03-31,$193
2011-12-31,$-85
2011-09-30,$167
2011-06-30,$203
2011-03-31,$142
2010-12-31,$58
2010-09-30,$145
2010-06-30,$160
2010-03-31,$11
2009-12-31,$9
2009-09-30,$395
2009-06-30,$107
2009-03-31,$-23
