Zebra Technologies Quarterly Net Income (Millions of US $),Zebra Technologies Quarterly Net Income (Millions of US $).1
2024-03-31,$115
2023-12-31,$17
2023-09-30,$-15
2023-06-30,$144
2023-03-31,$150
2022-12-31,$186
2022-09-30,$170
2022-06-30,$-98
2022-03-31,$205
2021-12-31,$191
2021-09-30,$199
2021-06-30,$219
2021-03-31,$228
2020-12-31,$199
2020-09-30,$116
2020-06-30,$100
2020-03-31,$89
2019-12-31,$169
2019-09-30,$136
2019-06-30,$124
2019-03-31,$115
2018-12-31,$115
2018-09-30,$127
2018-06-30,$70
2018-03-31,$109
2017-12-31,$4
2017-09-30,$-12
2017-06-30,$17
2017-03-31,$8
2016-12-31,$17
2016-09-30,$-83
2016-06-30,$-45
2016-03-31,$-26
2015-12-31,$-27
2015-09-30,$-29
2015-06-30,$-77
2015-03-31,$-25
2014-12-31,$-52
2014-09-30,$15
2014-06-30,$28
2014-03-31,$42
2013-12-31,$41
2013-09-30,$39
2013-06-30,$31
2013-03-31,$24
2012-12-31,$35
2012-09-30,$27
2012-06-30,$31
2012-03-31,$30
2011-12-31,$35
2011-09-30,$45
2011-06-30,$33
2011-03-31,$62
2010-12-31,$28
2010-09-30,$26
2010-06-30,$23
2010-03-31,$25
2009-12-31,$18
2009-09-30,$11
2009-06-30,$9
2009-03-31,$9
