TJX Quarterly Net Income (Millions of US $),TJX Quarterly Net Income (Millions of US $).1
2024-04-30,"$1,070"
2024-01-31,"$1,403"
2023-10-31,"$1,191"
2023-07-31,$989
2023-04-30,$891
2023-01-31,"$1,038"
2022-10-31,"$1,063"
2022-07-31,$810
2022-04-30,$587
2022-01-31,$940
2021-10-31,"$1,023"
2021-07-31,$786
2021-04-30,$534
2021-01-31,$325
2020-10-31,$867
2020-07-31,$-214
2020-04-30,$-887
2020-01-31,$985
2019-10-31,$828
2019-07-31,$759
2019-04-30,$700
2019-01-31,$842
2018-10-31,$762
2018-07-31,$740
2018-04-30,$716
2018-01-31,$877
2017-10-31,$641
2017-07-31,$553
2017-04-30,$536
2017-01-31,$678
2016-10-31,$550
2016-07-31,$562
2016-04-30,$508
2016-01-31,$666
2015-10-31,$587
2015-07-31,$549
2015-04-30,$475
2015-01-31,$648
2014-10-31,$595
2014-07-31,$518
2014-04-30,$454
2014-01-31,$582
2013-10-31,$623
2013-07-31,$480
2013-04-30,$453
2013-01-31,$605
2012-10-31,$462
2012-07-31,$421
2012-04-30,$419
2012-01-31,$475
2011-10-31,$406
2011-07-31,$348
2011-04-30,$266
2011-01-31,$334
2010-10-31,$372
2010-07-31,$305
2010-04-30,$331
2010-01-31,$395
2009-10-31,$348
2009-07-31,$262
2009-04-30,$209
2009-01-31,$251
