Equifax Quarterly Net Income (Millions of US $),Equifax Quarterly Net Income (Millions of US $).1
2024-03-31,$125
2023-12-31,$132
2023-09-30,$162
2023-06-30,$138
2023-03-31,$112
2022-12-31,$108
2022-09-30,$166
2022-06-30,$201
2022-03-31,$222
2021-12-31,$122
2021-09-30,$205
2021-06-30,$215
2021-03-31,$202
2020-12-31,$75
2020-09-30,$229
2020-06-30,$100
2020-03-31,$117
2019-12-31,$24
2019-09-30,$81
2019-06-30,$67
2019-03-31,$-556
2018-12-31,$36
2018-09-30,$38
2018-06-30,$145
2018-03-31,$91
2017-12-31,$172
2017-09-30,$96
2017-06-30,$165
2017-03-31,$153
2016-12-31,$123
2016-09-30,$133
2016-06-30,$131
2016-03-31,$102
2015-12-31,$112
2015-09-30,$118
2015-06-30,$111
2015-03-31,$88
2014-12-31,$98
2014-09-30,$93
2014-06-30,$93
2014-03-31,$84
2013-12-31,$77
2013-09-30,$84
2013-06-30,$91
2013-03-31,$101
2012-12-31,$46
2012-09-30,$78
2012-06-30,$76
2012-03-31,$72
2011-12-31,$74
2011-09-30,$67
2011-06-30,$35
2011-03-31,$57
2010-12-31,$62
2010-09-30,$77
2010-06-30,$71
2010-03-31,$57
2009-12-31,$60
2009-09-30,$60
2009-06-30,$60
2009-03-31,$54
