Mettler-Toledo Quarterly Net Income (Millions of US $),Mettler-Toledo Quarterly Net Income (Millions of US $).1
2024-03-31,$178
2023-12-31,$185
2023-09-30,$202
2023-06-30,$214
2023-03-31,$188
2022-12-31,$266
2022-09-30,$221
2022-06-30,$212
2022-03-31,$174
2021-12-31,$231
2021-09-30,$204
2021-06-30,$185
2021-03-31,$150
2020-12-31,$216
2020-09-30,$162
2020-06-30,$127
2020-03-31,$98
2019-12-31,$193
2019-09-30,$129
2019-06-30,$127
2019-03-31,$112
2018-12-31,$181
2018-09-30,$127
2018-06-30,$111
2018-03-31,$93
2017-12-31,$77
2017-09-30,$105
2017-06-30,$102
2017-03-31,$92
2016-12-31,$138
2016-09-30,$101
2016-06-30,$80
2016-03-31,$66
2015-12-31,$123
2015-09-30,$89
2015-06-30,$78
2015-03-31,$63
2014-12-31,$121
2014-09-30,$85
2014-06-30,$74
2014-03-31,$58
2013-12-31,$110
2013-09-30,$74
2013-06-30,$69
2013-03-31,$53
2012-12-31,$105
2012-09-30,$72
2012-06-30,$62
2012-03-31,$52
2011-12-31,$94
2011-09-30,$68
2011-06-30,$60
2011-03-31,$47
2010-12-31,$81
2010-09-30,$62
2010-06-30,$51
2010-03-31,$38
2009-12-31,$69
2009-09-30,$42
2009-06-30,$28
2009-03-31,$34
