3M Quarterly Net Income (Millions of US $),3M Quarterly Net Income (Millions of US $).1
2024-03-31,$928
2023-12-31,$945
2023-09-30,"$-2,075"
2023-06-30,"$-6,841"
2023-03-31,$976
2022-12-31,$541
2022-09-30,"$3,859"
2022-06-30,$78
2022-03-31,"$1,299"
2021-12-31,"$1,339"
2021-09-30,"$1,434"
2021-06-30,"$1,524"
2021-03-31,"$1,624"
2020-12-31,"$1,405"
2020-09-30,"$1,430"
2020-06-30,"$1,306"
2020-03-31,"$1,308"
2019-12-31,$916
2019-09-30,"$1,583"
2019-06-30,"$1,127"
2019-03-31,$891
2018-12-31,"$1,347"
2018-09-30,"$1,543"
2018-06-30,"$1,857"
2018-03-31,$602
2017-12-31,$523
2017-09-30,"$1,429"
2017-06-30,"$1,583"
2017-03-31,"$1,323"
2016-12-31,"$1,155"
2016-09-30,"$1,329"
2016-06-30,"$1,291"
2016-03-31,"$1,275"
2015-12-31,"$1,038"
2015-09-30,"$1,296"
2015-06-30,"$1,300"
2015-03-31,"$1,199"
2014-12-31,"$1,179"
2014-09-30,"$1,303"
2014-06-30,"$1,267"
2014-03-31,"$1,207"
2013-12-31,"$1,103"
2013-09-30,"$1,230"
2013-06-30,"$1,197"
2013-03-31,"$1,129"
2012-12-31,$991
2012-09-30,"$1,161"
2012-06-30,"$1,167"
2012-03-31,"$1,125"
2011-12-31,$954
2011-09-30,"$1,088"
2011-06-30,"$1,160"
2011-03-31,"$1,081"
2010-12-31,$928
2010-09-30,"$1,106"
2010-06-30,"$1,121"
2010-03-31,$930
2009-12-31,$935
2009-09-30,$957
2009-06-30,$783
2009-03-31,$518
