Nucor Quarterly Net Income (Millions of US $),Nucor Quarterly Net Income (Millions of US $).1
2024-03-31,$842
2023-12-31,$782
2023-09-30,"$1,137"
2023-06-30,"$1,455"
2023-03-31,"$1,133"
2022-12-31,"$1,251"
2022-09-30,"$1,688"
2022-06-30,"$2,550"
2022-03-31,"$2,087"
2021-12-31,"$2,240"
2021-09-30,"$2,118"
2021-06-30,"$1,500"
2021-03-31,$937
2020-12-31,$397
2020-09-30,$192
2020-06-30,$108
2020-03-31,$20
2019-12-31,$107
2019-09-30,$273
2019-06-30,$384
2019-03-31,$500
2018-12-31,$644
2018-09-30,$674
2018-06-30,$680
2018-03-31,$353
2017-12-31,$383
2017-09-30,$254
2017-06-30,$322
2017-03-31,$356
2016-12-31,$158
2016-09-30,$304
2016-06-30,$244
2016-03-31,$87
2015-12-31,$-339
2015-09-30,$226
2015-06-30,$124
2015-03-31,$67
2014-12-31,$175
2014-09-30,$245
2014-06-30,$147
2014-03-31,$111
2013-12-31,$170
2013-09-30,$147
2013-06-30,$85
2013-03-31,$84
2012-12-31,$136
2012-09-30,$110
2012-06-30,$112
2012-03-31,$145
2011-12-31,$137
2011-09-30,$181
2011-06-30,$299
2011-03-31,$159
2010-12-31,$-12
2010-09-30,$23
2010-06-30,$91
2010-03-31,$30
2009-12-31,$58
2009-09-30,$-30
2009-06-30,$-134
2009-03-31,$-190
