Verizon Quarterly Net Income (Millions of US $),Verizon Quarterly Net Income (Millions of US $).1
2024-03-31,"$4,602"
2023-12-31,"$-2,705"
2023-09-30,"$4,762"
2023-06-30,"$4,648"
2023-03-31,"$4,909"
2022-12-31,"$6,577"
2022-09-30,"$4,900"
2022-06-30,"$5,199"
2022-03-31,"$4,580"
2021-12-31,"$4,613"
2021-09-30,"$6,407"
2021-06-30,"$5,800"
2021-03-31,"$5,245"
2020-12-31,"$4,588"
2020-09-30,"$4,357"
2020-06-30,"$4,700"
2020-03-31,"$4,156"
2019-12-31,"$5,095"
2019-09-30,"$5,194"
2019-06-30,"$3,944"
2019-03-31,"$5,032"
2018-12-31,"$1,939"
2018-09-30,"$4,924"
2018-06-30,"$4,120"
2018-03-31,"$4,545"
2017-12-31,"$18,669"
2017-09-30,"$3,620"
2017-06-30,"$4,362"
2017-03-31,"$3,450"
2016-12-31,"$4,495"
2016-09-30,"$3,620"
2016-06-30,$702
2016-03-31,"$4,310"
2015-12-31,"$5,391"
2015-09-30,"$4,038"
2015-06-30,"$4,231"
2015-03-31,"$4,219"
2014-12-31,"$-2,231"
2014-09-30,"$3,695"
2014-06-30,"$4,214"
2014-03-31,"$3,947"
2013-12-31,"$5,067"
2013-09-30,"$2,232"
2013-06-30,"$2,246"
2013-03-31,"$1,952"
2012-12-31,"$-4,229"
2012-09-30,"$1,593"
2012-06-30,"$1,825"
2012-03-31,"$1,686"
2011-12-31,"$-2,023"
2011-09-30,"$1,379"
2011-06-30,"$1,609"
2011-03-31,"$1,439"
2010-12-31,"$2,639"
2010-09-30,$659
2010-06-30,"$-1,192"
2010-03-31,$443
2009-12-31,$590
2009-09-30,"$1,176"
2009-06-30,"$1,483"
2009-03-31,"$1,645"
