Gartner Quarterly Net Income (Millions of US $),Gartner Quarterly Net Income (Millions of US $).1
2024-03-31,$211
2023-12-31,$209
2023-09-30,$180
2023-06-30,$198
2023-03-31,$296
2022-12-31,$257
2022-09-30,$174
2022-06-30,$205
2022-03-31,$173
2021-12-31,$209
2021-09-30,$149
2021-06-30,$271
2021-03-31,$164
2020-12-31,$120
2020-09-30,$17
2020-06-30,$55
2020-03-31,$75
2019-12-31,$68
2019-09-30,$41
2019-06-30,$103
2019-03-31,$21
2018-12-31,$84
2018-09-30,$12
2018-06-30,$46
2018-03-31,$-20
2017-12-31,$107
2017-09-30,$-48
2017-06-30,$-92
2017-03-31,$36
2016-12-31,$66
2016-09-30,$30
2016-06-30,$52
2016-03-31,$45
2015-12-31,$66
2015-09-30,$30
2015-06-30,$51
2015-03-31,$28
2014-12-31,$59
2014-09-30,$34
2014-06-30,$53
2014-03-31,$38
2013-12-31,$61
2013-09-30,$38
2013-06-30,$47
2013-03-31,$37
2012-12-31,$59
2012-09-30,$31
2012-06-30,$41
2012-03-31,$34
2011-12-31,$45
2011-09-30,$30
2011-06-30,$32
2011-03-31,$29
2010-12-31,$37
2010-09-30,$20
2010-06-30,$20
2010-03-31,$19
2009-12-31,$26
2009-09-30,$20
2009-06-30,$17
2009-03-31,$20
