Kraft Heinz Quarterly Net Income (Millions of US $),Kraft Heinz Quarterly Net Income (Millions of US $).1
2024-03-31,$801
2023-12-31,$757
2023-09-30,$262
2023-06-30,"$1,000"
2023-03-31,$836
2022-12-31,$890
2022-09-30,$432
2022-06-30,$265
2022-03-31,$776
2021-12-31,$-257
2021-09-30,$733
2021-06-30,$-27
2021-03-31,$563
2020-12-31,"$1,032"
2020-09-30,$597
2020-06-30,"$-1,651"
2020-03-31,$378
2019-12-31,$182
2019-09-30,$899
2019-06-30,$449
2019-03-31,$405
2018-12-31,"$-12,568"
2018-09-30,$619
2018-06-30,$754
2018-03-31,"$1,003"
2017-12-31,"$7,945"
2017-09-30,$944
2017-06-30,"$1,159"
2017-03-31,$893
2016-12-31,$908
2016-09-30,$842
2016-06-30,$770
2016-03-31,$896
2015-12-31,$285
2015-09-30,$-303
2015-06-30,$-344
2015-03-31,$96
2014-12-31,$-515
2014-09-30,$-8
2014-06-30,$-53
2014-03-31,$513
2013-12-31,$-765
2013-09-30,$497
2013-06-30,$825
2013-03-31,$456
2012-12-31,$85
2012-09-30,$466
2012-06-30,$603
2012-03-31,$483
2011-12-31,
2011-09-30,$417
2010-12-31,
