Apple Quarterly Net Income (Millions of US $),Apple Quarterly Net Income (Millions of US $).1
2024-03-31,"$23,636"
2023-12-31,"$33,916"
2023-09-30,"$22,956"
2023-06-30,"$19,881"
2023-03-31,"$24,160"
2022-12-31,"$29,998"
2022-09-30,"$20,721"
2022-06-30,"$19,442"
2022-03-31,"$25,010"
2021-12-31,"$34,630"
2021-09-30,"$20,551"
2021-06-30,"$21,744"
2021-03-31,"$23,630"
2020-12-31,"$28,755"
2020-09-30,"$12,673"
2020-06-30,"$11,253"
2020-03-31,"$11,249"
2019-12-31,"$22,236"
2019-09-30,"$13,686"
2019-06-30,"$10,044"
2019-03-31,"$11,561"
2018-12-31,"$19,965"
2018-09-30,"$14,125"
2018-06-30,"$11,519"
2018-03-31,"$13,822"
2017-12-31,"$20,065"
2017-09-30,"$10,714"
2017-06-30,"$8,717"
2017-03-31,"$11,029"
2016-12-31,"$17,891"
2016-09-30,"$9,014"
2016-06-30,"$7,796"
2016-03-31,"$10,516"
2015-12-31,"$18,361"
2015-09-30,"$11,124"
2015-06-30,"$10,677"
2015-03-31,"$13,569"
2014-12-31,"$18,024"
2014-09-30,"$8,467"
2014-06-30,"$7,748"
2014-03-31,"$10,223"
2013-12-31,"$13,072"
2013-09-30,"$7,512"
2013-06-30,"$6,900"
2013-03-31,"$9,547"
2012-12-31,"$13,078"
2012-09-30,"$8,223"
2012-06-30,"$8,824"
2012-03-31,"$11,622"
2011-12-31,"$13,064"
2011-09-30,"$6,623"
2011-06-30,"$7,308"
2011-03-31,"$5,987"
2010-12-31,"$6,004"
2010-09-30,"$4,308"
2010-06-30,"$3,253"
2010-03-31,"$3,074"
2009-12-31,"$3,378"
2009-09-30,"$2,532"
2009-06-30,"$1,828"
2009-03-31,"$1,620"
