Altria Quarterly Net Income (Millions of US $),Altria Quarterly Net Income (Millions of US $).1
2024-03-31,"$2,124"
2023-12-31,"$2,055"
2023-09-30,"$2,161"
2023-06-30,"$2,113"
2023-03-31,"$1,784"
2022-12-31,"$2,686"
2022-09-30,$221
2022-06-30,$889
2022-03-31,"$1,955"
2021-12-31,"$1,621"
2021-09-30,"$-2,724"
2021-06-30,"$2,146"
2021-03-31,"$1,421"
2020-12-31,"$1,918"
2020-09-30,$-952
2020-06-30,"$1,943"
2020-03-31,"$1,550"
2019-12-31,"$-1,813"
2019-09-30,"$-2,601"
2019-06-30,"$1,996"
2019-03-31,"$1,118"
2018-12-31,"$1,249"
2018-09-30,"$1,941"
2018-06-30,"$1,873"
2018-03-31,"$1,892"
2017-12-31,"$4,959"
2017-09-30,"$1,864"
2017-06-30,"$1,986"
2017-03-31,"$1,399"
2016-12-31,"$10,255"
2016-09-30,"$1,092"
2016-06-30,"$1,653"
2016-03-31,"$1,215"
2015-12-31,"$1,242"
2015-09-30,"$1,528"
2015-06-30,"$1,445"
2015-03-31,"$1,016"
2014-12-31,"$1,230"
2014-09-30,"$1,397"
2014-06-30,"$1,259"
2014-03-31,"$1,172"
2013-12-31,$495
2013-09-30,"$1,392"
2013-06-30,"$1,263"
2013-03-31,"$1,385"
2012-12-31,"$1,096"
2012-09-30,$655
2012-06-30,"$1,221"
2012-03-31,"$1,195"
2011-12-31,$829
2011-09-30,"$1,168"
2011-06-30,$443
2011-03-31,$937
2010-12-31,$904
2010-09-30,"$1,131"
2010-06-30,"$1,042"
2010-03-31,$813
2009-12-31,$725
2009-09-30,$882
2009-06-30,"$1,010"
2009-03-31,$589
