KeyCorp Quarterly Net Income (Millions of US $),KeyCorp Quarterly Net Income (Millions of US $).1
2024-03-31,$183
2023-12-31,$30
2023-09-30,$267
2023-06-30,$251
2023-03-31,$276
2022-12-31,$356
2022-09-30,$515
2022-06-30,$507
2022-03-31,$421
2021-12-31,$603
2021-09-30,$618
2021-06-30,$703
2021-03-31,$595
2020-12-31,$556
2020-09-30,$401
2020-06-30,$161
2020-03-31,$119
2019-12-31,$442
2019-09-30,$386
2019-06-30,$405
2019-03-31,$387
2018-12-31,$461
2018-09-30,$468
2018-06-30,$467
2018-03-31,$404
2017-12-31,$182
2017-09-30,$350
2017-06-30,$398
2017-03-31,$296
2016-12-31,$209
2016-09-30,$166
2016-06-30,$196
2016-03-31,$183
2015-12-31,$220
2015-09-30,$213
2015-06-30,$233
2015-03-31,$227
2014-12-31,$248
2014-09-30,$180
2014-06-30,$214
2014-03-31,$236
2013-12-31,$224
2013-09-30,$266
2013-06-30,$198
2013-03-31,$199
2012-12-31,$192
2012-09-30,$219
2012-06-30,$231
2012-03-31,$194
2011-12-31,$194
2011-09-30,$212
2011-06-30,$234
2011-03-31,$173
2010-12-31,$279
2010-09-30,$178
2010-06-30,$29
2010-03-31,$-96
2009-12-31,$-265
2009-09-30,$-438
2009-06-30,$-390
2009-03-31,$-536
