TE Connectivity Quarterly Net Income (Millions of US $),TE Connectivity Quarterly Net Income (Millions of US $).1
2024-03-31,$541
2023-12-31,"$1,803"
2023-09-30,$552
2023-06-30,$528
2023-03-31,$433
2022-12-31,$397
2022-09-30,$708
2022-06-30,$594
2022-03-31,$560
2021-12-31,$566
2021-09-30,$794
2021-06-30,$580
2021-03-31,$506
2020-12-31,$381
2020-09-30,$230
2020-06-30,$-41
2020-03-31,$-456
2019-12-31,$26
2019-09-30,$372
2019-06-30,$757
2019-03-31,$439
2018-12-31,$276
2018-09-30,"$1,661"
2018-06-30,$454
2018-03-31,$490
2017-12-31,$-40
2017-09-30,$434
2017-06-30,$435
2017-03-31,$405
2016-12-31,$409
2016-09-30,$437
2016-06-30,$839
2016-03-31,$380
2015-12-31,$353
2015-09-30,"$1,040"
2015-06-30,$309
2015-03-31,$599
2014-12-31,$472
2014-09-30,$663
2014-06-30,$403
2014-03-31,$362
2013-12-31,$353
2013-09-30,$387
2013-06-30,$335
2013-03-31,$277
2012-12-31,$277
2012-09-30,$396
2012-06-30,$199
2012-03-31,$257
2011-12-31,$260
2011-09-30,$326
2011-06-30,$355
2011-03-31,$299
2010-12-31,$265
2010-09-30,$297
2010-06-30,$330
2010-03-31,$304
2009-12-31,$172
2009-09-30,$87
2009-06-30,$-77
2009-03-31,"$-3,238"
