Paycom Software Quarterly Net Income (Millions of US $),Paycom Software Quarterly Net Income (Millions of US $).1
2024-03-31,$247
2023-12-31,$82
2023-09-30,$75
2023-06-30,$65
2023-03-31,$119
2022-12-31,$80
2022-09-30,$52
2022-06-30,$57
2022-03-31,$92
2021-12-31,$49
2021-09-30,$30
2021-06-30,$52
2021-03-31,$65
2020-12-31,$24
2020-09-30,$27
2020-06-30,$29
2020-03-31,$63
2019-12-31,$45
2019-09-30,$39
2019-06-30,$49
2019-03-31,$47
2018-12-31,$31
2018-09-30,$29
2018-06-30,$36
2018-03-31,$41
2017-12-31,$49
2017-09-30,$21
2017-06-30,$20
2017-03-31,$34
2016-12-31,$35
2016-09-30,$6
2016-06-30,$10
2016-03-31,$19
2015-12-31,$5
2015-09-30,$4
2015-06-30,$6
2015-03-31,$6
2014-12-31,$3
2014-09-30,$3
2014-06-30,$-1
2014-03-31,$1
2013-12-31,$-1
2013-09-30,$-0
2013-06-30,$0
2013-03-31,$3
2012-12-31,
2011-12-31,
