Bio-Rad Laboratories Quarterly Net Income (Millions of US $),Bio-Rad Laboratories Quarterly Net Income (Millions of US $).1
2024-03-31,$384
2023-12-31,$350
2023-09-30,$106
2023-06-30,"$-1,162"
2023-03-31,$69
2022-12-31,$828
2022-09-30,$-163
2022-06-30,$-925
2022-03-31,"$-3,367"
2021-12-31,"$-1,565"
2021-09-30,"$3,928"
2021-06-30,$914
2021-03-31,$977
2020-12-31,$847
2020-09-30,"$1,315"
2020-06-30,$966
2020-03-31,$686
2019-12-31,$553
2019-09-30,$-259
2019-06-30,$599
2019-03-31,$865
2018-12-31,$-829
2018-09-30,$269
2018-06-30,$268
2018-03-31,$657
2017-12-31,$83
2017-09-30,$22
2017-06-30,$5
2017-03-31,$12
2016-12-31,$-23
2016-09-30,$18
2016-06-30,$18
2016-03-31,$12
2015-12-31,$46
2015-09-30,$17
2015-06-30,$28
2015-03-31,$18
2014-12-31,$39
2014-09-30,$12
2014-06-30,$32
2014-03-31,$7
2013-12-31,$30
2013-09-30,$-7
2013-06-30,$35
2013-03-31,$20
2012-12-31,$43
2012-09-30,$43
2012-06-30,$48
2012-03-31,$31
2011-12-31,$60
2011-09-30,$46
2011-06-30,$40
2011-03-31,$33
2010-12-31,$68
2010-09-30,$45
2010-06-30,$38
2010-03-31,$35
2009-12-31,$38
2009-09-30,$39
2009-06-30,$38
2009-03-31,$30
